ID_RESTAURANTE,NOMBRE_RESTAURANTE,ZONA,NUM_EDIFICIO,CALLE,CODIGO_POSTAL,LATITUD,LONGITUD,COCINA,FECHA,VIOLACION,GRAVEDAD,PUNTAJE,CALIFICACION,ID_EDIFICIO,TIPO_COMPETENCIA
40359480,1 EAST 66TH STREET KITCHEN,Manhattan,1,EAST   66 STREET,10065,40.76854691423,-73.96958057845,American,2025-12-02,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,10.0,A,1041159,Indirecta (Tráfico)
40362264,P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025,40.79262063589,-73.96770961573,American,2025-03-27,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,13.0,A,1082743,Indirecta (Tráfico)
40362274,ANGELIKA FILM CENTER,Manhattan,18,WEST HOUSTON STREET,10012,40.72574361744,-73.99747810759,American,2023-06-21,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,11.0,A,1008240,Indirecta (Tráfico)
40363298,CAFE METRO,Manhattan,625,8 AVENUE,10018,40.75618542308,-73.99056473379,American,2025-05-01,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,1083268,Indirecta (Tráfico)
40364347,METROPOLITAN CLUB,Manhattan,1,EAST   60 STREET,10022,40.76479552185,-73.97230783434,American,2024-10-29,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,1081206,Indirecta (Tráfico)
40364373,ISLE OF CAPRI,Manhattan,1028,3 AVENUE,10065,40.76270773611,-73.96574957601,Italian,2024-09-10,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,26.0,Sin Calificación,1041931,Indirecta (Tráfico)
40364389,OLD TOWN BAR,Manhattan,45,EAST   18 STREET,10003,40.73759507351,-73.98964720852,American,2025-02-26,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,10.0,A,1016150,Indirecta (Tráfico)
40364439,SEVILLA,Manhattan,62,CHARLES STREET,10014,40.73490837812,-74.00297328507,Spanish,2025-08-21,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,39.0,Sin Calificación,1010824,Indirecta (Tráfico)
40364443,CRIMINAL COURT BLDG CAFETERIA,Manhattan,100,CENTRE STREET,10013,40.71607656565,-74.00142489623,American,2025-08-26,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,1079000,Indirecta (Tráfico)
40364467,NYAC MAIN DINING ROOM,Manhattan,180,CENTRAL PARK SOUTH,10019,40.76671822299,-73.97873659477,American,2025-01-29,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,1023750,Indirecta (Tráfico)
