station_complex_id,station_complex,hour,Pasajeros mensual,estacion_latitude,estacion_longitude
10,"49 St (N,R,W)",10,21178.0,40.7599,-73.98414
10,"49 St (N,R,W)",11,17576.0,40.7599,-73.98414
10,"49 St (N,R,W)",12,17803.0,40.7599,-73.98414
10,"49 St (N,R,W)",13,19864.0,40.7599,-73.98414
10,"49 St (N,R,W)",14,23432.0,40.7599,-73.98414
10,"49 St (N,R,W)",15,32751.0,40.7599,-73.98414
10,"49 St (N,R,W)",16,19883.0,40.7599,-73.98414
10,"49 St (N,R,W)",17,23707.0,40.7599,-73.98414
10,"49 St (N,R,W)",18,18638.0,40.7599,-73.98414
10,"49 St (N,R,W)",19,22422.0,40.7599,-73.98414
10,"49 St (N,R,W)",20,28829.0,40.7599,-73.98414
10,"49 St (N,R,W)",21,24668.0,40.7599,-73.98414
103,"Bowery (J,Z)",10,1028.0,40.72028,-73.99391
103,"Bowery (J,Z)",11,991.0,40.72028,-73.99391
103,"Bowery (J,Z)",12,1084.0,40.72028,-73.99391
103,"Bowery (J,Z)",13,1668.0,40.72028,-73.99391
103,"Bowery (J,Z)",14,2517.0,40.72028,-73.99391
103,"Bowery (J,Z)",15,2401.0,40.72028,-73.99391
103,"Bowery (J,Z)",16,2855.0,40.72028,-73.99391
103,"Bowery (J,Z)",17,3921.0,40.72028,-73.99391
103,"Bowery (J,Z)",18,3988.0,40.72028,-73.99391
103,"Bowery (J,Z)",19,2807.0,40.72028,-73.99391
103,"Bowery (J,Z)",20,2845.0,40.72028,-73.99391
103,"Bowery (J,Z)",21,3039.0,40.72028,-73.99391
107,"Broad St (J,Z)",10,1159.0,40.706474,-74.011055
107,"Broad St (J,Z)",11,2165.0,40.706474,-74.011055
107,"Broad St (J,Z)",12,2436.0,40.706474,-74.011055
107,"Broad St (J,Z)",13,3302.0,40.706474,-74.011055
107,"Broad St (J,Z)",14,5390.0,40.706474,-74.011055
107,"Broad St (J,Z)",15,8459.0,40.706474,-74.011055
107,"Broad St (J,Z)",16,10649.0,40.706474,-74.011055
107,"Broad St (J,Z)",17,18880.0,40.706474,-74.011055
107,"Broad St (J,Z)",18,10191.0,40.706474,-74.011055
107,"Broad St (J,Z)",19,4416.0,40.706474,-74.011055
107,"Broad St (J,Z)",20,2591.0,40.706474,-74.011055
107,"Broad St (J,Z)",21,1611.0,40.706474,-74.011055
118,3 Av (L),10,2460.0,40.73285,-73.98612
118,3 Av (L),11,2973.0,40.73285,-73.98612
118,3 Av (L),12,4045.0,40.73285,-73.98612
118,3 Av (L),13,4912.0,40.73285,-73.98612
118,3 Av (L),14,6563.0,40.73285,-73.98612
118,3 Av (L),15,9606.0,40.73285,-73.98612
118,3 Av (L),16,9811.0,40.73285,-73.98612
118,3 Av (L),17,11402.0,40.73285,-73.98612
118,3 Av (L),18,12522.0,40.73285,-73.98612
118,3 Av (L),19,11574.0,40.73285,-73.98612
118,3 Av (L),20,9205.0,40.73285,-73.98612
118,3 Av (L),21,10621.0,40.73285,-73.98612
119,1 Av (L),10,17863.0,40.730953,-73.98163
119,1 Av (L),11,17825.0,40.730953,-73.98163
119,1 Av (L),12,18837.0,40.730953,-73.98163
119,1 Av (L),13,19871.0,40.730953,-73.98163
119,1 Av (L),14,31992.0,40.730953,-73.98163
119,1 Av (L),15,34706.0,40.730953,-73.98163
119,1 Av (L),16,30499.0,40.730953,-73.98163
119,1 Av (L),17,16296.0,40.730953,-73.98163
119,1 Av (L),18,9276.0,40.73095299999999,-73.98163
119,1 Av (L),19,13811.0,40.730953,-73.98163
119,1 Av (L),20,19199.0,40.730953,-73.98163
119,1 Av (L),21,17634.0,40.730953,-73.98163
13,"28 St (R,W)",10,7401.0,40.745495,-73.98869
13,"28 St (R,W)",11,7265.0,40.745495,-73.98869
13,"28 St (R,W)",12,8212.0,40.745495,-73.98869
13,"28 St (R,W)",13,9343.0,40.745495,-73.98869
13,"28 St (R,W)",14,10512.0,40.745495,-73.98869
13,"28 St (R,W)",15,12755.0,40.745495,-73.98869
13,"28 St (R,W)",16,18403.0,40.745495,-73.98869
13,"28 St (R,W)",17,25873.0,40.745495,-73.98869
13,"28 St (R,W)",18,22031.0,40.745495,-73.98869
13,"28 St (R,W)",19,14986.0,40.745495,-73.98869
13,"28 St (R,W)",20,11144.0,40.745495,-73.98869
13,"28 St (R,W)",21,8846.0,40.745495,-73.98869
14,"23 St (R,W)",10,9345.0,40.741302,-73.98934
14,"23 St (R,W)",11,12523.0,40.741302,-73.98934
14,"23 St (R,W)",12,14996.0,40.741302,-73.98934
14,"23 St (R,W)",13,17598.0,40.741302,-73.98934
14,"23 St (R,W)",14,23316.0,40.741302,-73.98934
14,"23 St (R,W)",15,28482.0,40.741302,-73.98934
14,"23 St (R,W)",16,25268.0,40.741302,-73.98934
14,"23 St (R,W)",17,17675.0,40.741302,-73.98934
14,"23 St (R,W)",18,17217.0,40.741302,-73.98933999999998
14,"23 St (R,W)",19,24960.0,40.741302,-73.98934000000001
14,"23 St (R,W)",20,16363.0,40.741302,-73.98934
14,"23 St (R,W)",21,11301.0,40.741302,-73.98934
143,Inwood-207 St (A),10,4812.0,40.868073,-73.9199
143,Inwood-207 St (A),11,4304.0,40.868073,-73.9199
143,Inwood-207 St (A),12,4428.0,40.868073,-73.9199
143,Inwood-207 St (A),13,5169.0,40.868073,-73.9199
143,Inwood-207 St (A),14,4582.0,40.868073,-73.9199
143,Inwood-207 St (A),15,5843.0,40.868073,-73.9199
143,Inwood-207 St (A),16,5601.0,40.868073,-73.9199
