NOMBRE,CATEGORIA,COORDENADAS
THOMAS JEFFERSON PARK,Recreativo,POINT (-73.936113484306 40.793070363719)
DALTON SCHOOL THE FIRST PROGRAM,Educativo,POINT (-73.955888984378 40.783951563)
STUYVESANT TOWN 321 AVE C 319 AVE C 315 AVE C,Residencial,POINT (-73.974551138655 40.731826135591)
HARLEM GROWN 134 ST GREEN HOUSE,Recreativo,POINT (-73.943313433901 40.81410593537)
RIVERSIDE PARK BASKETBALL COURTS W 111 ST,Recreativo,POINT (-73.96974958994 40.806235003283)
THE STANDARD HOTEL EAST VILLAGE,Comercial,POINT (-73.990796238636 40.727858548222)
PUBLIC SCHOOL 139 CONVERSION,Residencial,POINT (-73.940133604933 40.817739427496)
NEW YORK UNIVERSITY STUDENT HEALTH CENTER,Educativo,POINT (-73.99312199146 40.729298188507)
PS 200 THE JAMES MCCUNE SMITH SCHOOL,Educativo,POINT (-73.936123339707 40.824321324519)
RANDALLS ISLAND FIELD 63,Recreativo,POINT (-73.92453957718 40.782979677881)
BORICUA COLLEGE,Educativo,POINT (-73.945818165671 40.833434262203)
HIGH BRIDGE PARK POOL,Recreativo,POINT (-73.934137494374 40.842901197239)
INTREPID SEA AIR & SPACE MUSEUM,Cultural,POINT (-74.000366944131 40.764569120499)
LINDAMOOD BELL EAST SIDE LEARNING CENTER,Educativo,POINT (-73.971140344198 40.759917981255)
CENTRAL PARK LITERARY WALK,Recreativo,POINT (-73.972650483476 40.770358683913)
ALEXANDER HAMILTON PLAYGROUND,Recreativo,POINT (-73.951294508798 40.823139626806)
HAMAD BIN KHALIFA BIOMEDICAL RESEARCH BUILDING,Salud,POINT (-73.953229304254 40.765988177099)
MEXICAN TOURISM OFFICE,Gobierno,POINT (-73.976912576017 40.75636502864)
ARTS CLUB STUDIO BUILDING,Cultural,POINT (-73.986696305668 40.737716349051)
TAFT HOUSES BUILDING 9,Residencial,POINT (-73.946170658606 40.797648018084)
RUTGERS HOUSES BUILDING 4,Residencial,POINT (-73.990241625042 40.712304072387)
SAMUEL CITY HOUSES BUILDING 48,Residencial,POINT (-73.93724824033 40.819634598162)
PARK ROYAL BUILDING,Residencial,POINT (-73.976872883006 40.777729084982)
J HOOD WRIGHT PARK,Recreativo,POINT (-73.941255626458 40.846542275389)
BRONX SHORE FIELD 5,Recreativo,POINT (-73.922626140162 40.800215906843)
CECIL HOTEL,Comercial,POINT (-73.952464533353 40.804746654902)
EAST RIVER PARK AMPHITHEATER,Recreativo,POINT (-73.977815238119 40.711118087476)
SUCCESS ACADEMY CHARTER SCHOOL HARLEM 1,Educativo,POINT (-73.948266911016 40.802914868951)
CARVER HOUSES BUILDING 8,Residencial,POINT (-73.949568476403 40.79156617732)
AIR INDIA,Comercial,POINT (-73.972330970774 40.756964010579)
MASARYK BASKETBALL GYM,Recreativo,POINT (-73.980430903147 40.717539602661)
INWOOD HILL PARK BOAT DOCK,Recreativo,POINT (-73.920756648463 40.874218679024)
ROCKEFELLER UNIVERSITY BASS DINING COMMONS,Educativo,POINT (-73.955406496334 40.761776423991)
COLUMBIA UNIVERSITY WATT HALL,Educativo,POINT (-73.964442849831 40.805888241247)
SOUTH AFRICA CONSULATE & MISSION TO UN,Gobierno,POINT (-73.972282616569 40.746776052756)
CANADA CONSULATE,Gobierno,POINT (-73.974639994948 40.753782380772)
PETER'S FIELD,Recreativo,POINT (-73.981643699674 40.736166637497)
MARBLE HILL HOUSES BUILDING 12,Residencial,POINT (-73.908383558502 40.874590433843)
BARBADOS CONSULATE,Gobierno,POINT (-73.971120827028 40.750861040258)
"CINEMA 1, 2  & 3 THEATRES",Cultural,POINT (-73.966052711622 40.761852359784)
BOLIVIAN CONSULATE,Gobierno,POINT (-73.973163059322 40.751292083962)
CITY COLLEGE,Educativo,POINT (-73.95040517946 40.819536576474)
96 STREET LIBRARY,Cultural,POINT (-73.951798695176 40.78601871145)
MANHATTAN COMMUNITY BOARD 5,Gobierno,POINT (-73.990622321481 40.751421386194)
HRA JOB CENTER DYCKMAN #35,Gobierno,POINT (-73.914301020059 40.870252312326)
FIRST HOUSES BUILDING 6,Residencial,POINT (-73.986340712078 40.723922422926)
SEPTUAGESIMO UNO PARK,Recreativo,POINT (-73.984308530321 40.778690078428)
MILL ROCK PARK ISLAND,Recreativo,POINT (-73.938391360103 40.78065338569)
SUCCESS ACADEMY CHARTER SCHOOL HARLEM 4,Educativo,POINT (-73.95542006739 40.801712094009)
EMMA LAZARUS HIGH SCHOOL,Educativo,POINT (-73.993475172651 40.7163411632)
PS 63 PLAYGROUND,Recreativo,POINT (-73.986144945768 40.724563697162)
CITY AS SCHOOL HIGH SCHOOL,Educativo,POINT (-74.006328980177 40.729255194762)
FT TRYON PARK PINE LAWN,Recreativo,POINT (-73.934538495492 40.860824858885)
J HOOD WRIGHT PARK PLAYGROUND,Recreativo,POINT (-73.940954942376 40.845992815432)
DWIGHT SCHOOL 18 W 89 ST,Educativo,POINT (-73.968754407077 40.787395706661)
METROPOLITAN HOSPITAL CENTER,Salud,POINT (-73.94412497278 40.784879588563)
COLUMBIA UNIVERSITY RUGGLES HALL,Educativo,POINT (-73.962676598266 40.805643800978)
CHELSEA SQUARE RESTAURANT,Comercial,POINT (-74.001297796322 40.746243274839)
THE ARK NURSERY SCHOOL,Educativo,POINT (-73.962887999777 40.776453117079)
BLOOMINGDALE LIBRARY,Cultural,POINT (-73.967849811124 40.795928246603)
RUDOLF STEINER HS,Educativo,POINT (-73.963001574816 40.775996546254)
B SCHLESINGER & SONS UNIFORMS,Comercial,POINT (-73.999857208972 40.742051765444)
NEW YORK UNIVERSITY EDUCATION BUILDING,Educativo,POINT (-73.995872434484 40.729497694157)
DOUGLASS II HOUSES BUILDING 13,Residencial,POINT (-73.965665375425 40.7982392482)
LITTLE FLOWER PLAYGROUND,Recreativo,POINT (-73.988215938301 40.712523206571)
PS 138 ANNEX,Educativo,POINT (-73.978160634649 40.737031772521)
DR RONALD E MCNAIR PLAYGROUND,Recreativo,POINT (-73.938079502269 40.802576084448)
PS 133 FRED R MOORE,Educativo,POINT (-73.939430392088 40.80980976795)
CITY COLLEGE WILLE ADMINISTRATION BUILDING,Educativo,POINT (-73.948747231714 40.819908375751)
JUDITH S KAYE HIGH SCHOOL,Educativo,POINT (-73.944903825457 40.78363906297)
PS 149 SOJOURNER TRUTH,Educativo,POINT (-73.948240416365 40.802565141442)
CENTRAL PARK STRAWBERRY FIELDS,Recreativo,POINT (-73.975225531651 40.775708961087)
MELVILLE GALLERY,Cultural,POINT (-74.003315432469 40.707403603449)
JOAN OF ARC ISLAND,Recreativo,POINT (-73.976459217864 40.794234424217)
UNITED NATIONS PLZ CONDO,Residencial,POINT (-73.965781644366 40.752289972327)
STUYVESANT TOWN 530 E 20 540 E 20,Residencial,POINT (-73.976015602475 40.732971502463)
MONTESSORI SCHOOL OF MANHATTAN BEACH ST,Educativo,POINT (-74.009419373227 40.720883352222)
THOMAS PAINE PARK,Recreativo,POINT (-74.002653425222 40.715015151344)
HRA JOB CENTER UNION SQUARE #39,Gobierno,POINT (-73.988427210691 40.735768550435)
BOTSWANA MISSION TO UN,Gobierno,POINT (-73.973438452876 40.753515838228)
RIVERSIDE PARK 77 ST BALLFIELDS,Recreativo,POINT (-73.985623447127 40.784570476927)
HERNANDEZ HOUSE,Residencial,POINT (-73.989428176347 40.722227429464)
COLUMBIA UNIVERSITY COLLEGE OF DENTAL MEDICINE,Educativo,POINT (-73.940481020169 40.840897613585)
FT TRYON PARK NEW LEAF RESTROOM,Recreativo,POINT (-73.932719600023 40.860655181403)
SCYLLA PLAYGROUND,Recreativo,POINT (-73.925541278741 40.783968648538)
PARK AVENUE HOTEL,Comercial,POINT (-73.938925836435 40.804727511828)
LOWER E SIDE II HOUSES BLDG 4,Residencial,POINT (-73.979278431498 40.723144085281)
MOSAIC PREPARATORY ACADEMY,Educativo,POINT (-73.944284590766 40.795761396102)
POLO GROUNDS TOWERS BLDG 3,Residencial,POINT (-73.938589624777 40.830968053241)
SINGAPORE ECON DEVELOP BOARD,Gobierno,POINT (-73.970608480344 40.763492047792)
LINCOLN HOUSES BUILDING 10,Residencial,POINT (-73.937556480205 40.810585730957)
RIVERBANK PARK SERVICE BUILDING,Recreativo,POINT (-73.956035239847 40.825273694806)
JEWISH MUSEUM,Cultural,POINT (-73.957257376484 40.785382719821)
1 EAST RIVER PLACE,Residencial,POINT (-73.951428195617 40.766490038677)
FIRST HOUSES BUILDING 5,Residencial,POINT (-73.986175989773 40.723841369242)
RADIO CITY POST OFFICE,Gobierno,POINT (-73.986379003331 40.763870977697)
HIGHBRIDGE PARK FORT GEORGE HILL MOUNTAIN BIKE TRAIL,Recreativo,POINT (-73.924659063859 40.859459552847)
HARLEM VISTA HOTEL,Comercial,POINT (-73.937214565971 40.827304902111)
ASPHALT GREEN FIELD BATTERY PARK CITY,Recreativo,POINT (-74.014016351576 40.716074793366)
SAMUEL J FRIEDMAN THEATRE,Cultural,POINT (-73.986782707875 40.760322975646)
CCNY ADVANCED SCIENCE RESEARCH CENTER,Educativo,POINT (-73.950619830145 40.815720955819)
COLUMBIA UNIVERSITY FURNALD HALL,Residencial,POINT (-73.963909729532 40.807439445344)
LITTLE FLOWER PLAYGROUND COMFORT STATION,Recreativo,POINT (-73.988588443581 40.71259171757)
FRED SAMUEL PLAYGROUND,Recreativo,POINT (-73.939181990118 40.817144413908)
GRAND HYATT HOTEL GRAND CENTRAL TERMINAL,Comercial,POINT (-73.97610853162 40.751774738769)
SAMUEL CITY HOUSES BUILDING 27,Residencial,POINT (-73.937793239778 40.818884522226)
SAMUEL CITY HOUSES BUILDING 18,Residencial,POINT (-73.93959180387 40.820315943863)
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,Educativo,POINT (-73.931132598329 40.84920529119)
SAMUEL CITY HOUSES BUILDING 19,Residencial,POINT (-73.939308136371 40.82021278686)
COLUMBIA UNIVERSITY SCHOOL OF SOCIAL WORK,Educativo,POINT (-73.958283018141 40.810195385797)
LUTHER GULICK PLAYGROUND,Recreativo,POINT (-73.981847238817 40.715860647974)
BEEKMAN TOWER HOTEL,Comercial,POINT (-73.966000059093 40.753279381207)
INWOOD HILL PARK PALISADES OVERLOOK,Recreativo,POINT (-73.927229332197 40.873169542662)
45 ALLEN STREET HOUSES,Residencial,POINT (-73.992241393376 40.716688689566)
COLUMBIA UNIVERSITY HAMILTON HALL,Educativo,POINT (-73.961463891961 40.806742261484)
CONCORDE HOTEL,Comercial,POINT (-73.970449872257 40.75996897199)
GOVERNORS ISLAND THE YARD,Recreativo,POINT (-74.014399132207 40.687995842552)
BROWNSTONES HOUSES BUILDING 27,Residencial,POINT (-73.968264771131 40.788361467908)
BLOOMINGDALES 59 ST STORE,Comercial,POINT (-73.966752941512 40.762022044921)
CENTRAL PARK 79 ST MAINTENANCE YARD,Recreativo,POINT (-73.971164376279 40.780467679995)
MANHATTAN COMMUNITY COLLEGE PARKING LOT,Educativo,POINT (-74.011866198702 40.720100954632)
CENTRAL PARK LOCH,Recreativo,POINT (-73.956867263111 40.79504893625)
CENTRAL PARK N MEADOW,Recreativo,POINT (-73.957245221503 40.792312639001)
HOLCOMBE RUCKER PARK PLAYGROUND,Recreativo,POINT (-73.936586897289 40.829185687963)
CON ED E 74 ST,Comercial,POINT (-73.951964652716 40.768245673465)
MARLTON HOTEL,Comercial,POINT (-73.996828920015 40.732627999107)
MORNINGSIDE PARK S ENTRANCE,Recreativo,POINT (-73.959657785637 40.801467985875)
THE BRITISH INTERNATIONAL SCHOOL OF NY,Educativo,POINT (-73.972910913624 40.737856415861)
SUPREME COURT CRIMINAL TERM 100 CENTRE ST,Gobierno,POINT (-74.001033646353 40.71604148535)
PS 161 PEDRO ALBIZU CAMPOS,Educativo,POINT (-73.952653937881 40.817654499984)
IVORY COAST VISA OFFICE,Gobierno,POINT (-73.97150715836 40.750164787044)
DOROTHY K MCGOWAN MEMORIAL GARDEN,Recreativo,POINT (-73.942311639587 40.833977598413)
WASHINGTON HOUSES BUILDING 14,Residencial,POINT (-73.94479931367 40.7893651054)
CLINTON HOUSES BUILDING 5,Residencial,POINT (-73.9481685234 40.791795695431)
