Nombre_Restaurante,Rating,Cantidad_Reseñas,Precio,Tipo_Cocina,Resena
$1.50 Fresh Pizza,4.3,341,Bajo,"pizza, fast food",If you are in New York make sure to stop... | Nice cheep pizza
12 Chairs,4.3,285,Medio,"mediterranean, middle eastern, israeli","... couscous, hummus, pita, bsba ganoush, labneh, crispy cauliflower and salad. | Loud, cheerful place with yummy food"
15 EAST @ Tocqueville,4.4,451,Muy Alto,"french, japanese, sushi, asian",Appetizers were lovely and sushi was fine crafted and delicious. Fresh and... | Fusion French-Jpanese food but very expensive
1803 NYC,4.4,83,Medio,"american, cajun & creole",We really enjoyed 1803. We recently visited New Orleans and think this... | Lovely atmosphere and good food
2 Bros Pizza,4.4,269,Bajo,"italian, american, pizza, fast food",A small hole in the wall New York style pizza joint that we had to visit seve... | Crunchy
230 Fifth Rooftop Bar,4.1,4123,Medio,"american, bar, fusion",Club and rooftop all in one. Good drinks. Good music. Good times. Igloos during... | Perfect night
2nd Avenue Deli,4.3,1247,Medio,deli,The pastrami was ridiculously good. True... | craving and hungry for traditional deli -this works
44 & X,4.3,780,Medio,american,Unique menu in Hell's Kitchen | A nice recommendation / intro from friends
456 Shanghai Cuisine,3.9,506,Medio,"chinese, cantonese, shanghai","We love the peashoo tops, soup dumplings, crispy duck, pan fried noodles w... | Hidden gem"
5 Napkin Burger,4.4,4473,Medio,"american, contemporary, pub","The bacon cheeseburger was really good but overpriced. | Veggie burger, tuna burger, crunchy Asi..."
7th Street Burger West Village,4.3,62,Medio,"american, fast food",7th Street Burger: The Smash Hit I’d Sm... | Great guilty pleasure greasy burgers
810 Deli Incorporated,3.8,439,Bajo,"american, cafe, deli",We were in NYC for the marathon and were staying at the Sheraton across the... | A solid and safe choice for a decent breakfast
83 1/2 Restaurant,4.2,62,Medio,"italian, european, contemporary","One of the best dishes I've ever had in an Italian restaurant, Chicken... | ... balls and the Brussels sprouts."
94 Corner Cafe,4.2,164,Bajo,"american, cafe",we stayed at the days hotel which is literally across the road from this... | Great food and reasonably priced
A Pasta Bar,4.3,160,Medio,italian,Presentation was beautiful and the pasta was cooked to aldente perfection! We... | Great pasta !
A la Turka,4.2,129,Medio,"mediterranean, turkish, greek, middle eastern","we had the kofte and the lamb kabob and an artichoke appetizer and everything... | Great, spicy food, very rich in taste! I..."
A.R.T. SoHo,4.9,62,Medio,"american, bar, contemporary, pub",Great rooftop bar ! | Bar review
ABA Turkish Restaurant,4.4,319,Medio,"turkish, middle eastern",The meze plate is a great way to start. This is the best Turkish food we've had... | Wonderful Mediterranean Choices
ABCV,4.4,2708,Medio,"mexican, american, latin, spanish, contemporary",... specialized in Latin/Mexican flavors. | Pretty decor
Adel's Famous Halal Food,4.7,55,Bajo,"fast food, middle eastern","And it didn't matter if we got lamb (hello, I don't even like lamb!), chicken... | The best halal in Manhattan, hands down"
Adoro Lei,4.5,85,Medio,"italian, pizza","Have a glass of Prosecco to go with your meal. | Adoro Sliders were excellent, got 5..."
Adria,4.0,2,No disponible,"italian, seafood",Excellent Italian seafood served in a smaller space near 80th Street | Good food but…
Adrienne's Pizzabar,4.3,903,Medio,"italian, pizza",Best Meatballs! | Great pizza in a great atmosphere
Ai Fiori,4.3,1092,Muy Alto,"italian, french, bar, seafood, contemporary, pub",All in all excellent is deserved. As for... | Solid well run restaurant with good selections.
Ajisen Ramen,4.3,213,Bajo,"japanese, asian, soups","Four of us had different Ramen and it was so delicious. Great service, great... | OK but not more"
Alfie's,4.3,133,Medio,"american, bar, pub","Good service, good price, good food, good atmosphere. What more can you want... | Cheap Brunch Drinks!"
All'Antico Vinaio,4.4,115,Medio,"italian, pizza, tuscan",Great Italian Sandwich | La Paradiso Sandwich
Almond,4.2,297,Medio,american,And I didn't think the prices were out of line either. Definitely a go-to... | Good Moules Frites
Amaranth Restaurant,4.1,251,Medio,"italian, french, mediterranean",The best focaccia ever . | Amaranth visible off Madison on 62nd St...
Amarone,4.1,1975,Medio,"italian, steakhouse, seafood","Service was excellent, and the food is several cuts above the usual Italian r... | Fun Get Together with Friends"
Amelie,4.5,467,Medio,"french, european, wine bar",I had the duck Confit and my husband had the mussels. | ... Burrata and charcuterie - all excel...
American Cut Steakhouse Tribeca,4.0,234,Muy Alto,"american, steakhouse",We took the NY strip which was excellent. | The steak tartare was a bit of a letdown...
